Streckennummer;Richtung;km_von_l;km_bis_l;km_von_i;km_bis_i;km_von_km;km_von_m;km_bis_km;km_bis_m;Länge;Streckenkurzname;Bezeichnung;Kreuzungsart;Bundesland;Kreis;WKT GK (EPSG 31467);WKT WGS84 (EPSG 4326);WKT UTM 32N (EPSG 25832)
1711;Streckenachse;12,9 + 62,569;12,9 + 71,910;101290062,569;101290071,91;12,9;62,569;12,9;71,91;9;H-Hainholz - Bremervörde;EÜ Feldweg;EÜ über andere Straße/Weg Fahrverkehr;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3550353.7108984366 5814887.040785624,3550353.7451814283 5814896.381540753));MULTILINESTRING ((9.73982769203173 52.464859015482034,9.739829605648952 52.464942947613984));MULTILINESTRING ((550261.7930323798 5813001.13762068,550261.8273841981 5813010.47465238))
1711;Streckenachse;13,1 + 68,811;13,1 + 72,893;101310068,811;101310072,893;13,1;68,811;13,1;72,893;5;H-Hainholz - Bremervörde;EÜ Feldweg;EÜ über andere Straße/Weg Fahrverkehr;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3550345.412764827 5815093.018538183,3550345.0321476045 5815097.082674671));MULTILINESTRING ((9.739736678688596 52.46671067978294,9.739731691771315 52.46674723485516));MULTILINESTRING ((550253.5000252472 5813207.033346066,550253.1195956212 5813211.095865997))
1711;Streckenachse;14,3 + 69,284;14,3 + 72,624;101430069,284;101430072,624;14,3;69,284;14,3;72,624;12;H-Hainholz - Bremervörde;EÜ Mühlengraben;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3550150.3992276266 5816277.358177842,3550149.7818280673 5816280.640552467));MULTILINESTRING ((9.737045472081864 52.47737099133963,9.737036879632505 52.47740054314714));MULTILINESTRING ((550058.5746751442 5814390.902646827,550057.9575506543 5814394.183718603))
1711;Streckenachse;14,6 + 62,750;14,6 + 71,451;101460062,75;101460071,451;14,6;62,75;14,6;71,451;10;H-Hainholz - Bremervörde;EÜ Fuß- u. Radweg;EÜ über Wege/Räume Reisende-Bstg.Zug.;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3550099.162202334 5816566.294667995,3550097.7150553125 5816574.873406799));MULTILINESTRING ((9.736334844150495 52.47997205024538,9.736314834655722 52.480049270737254));MULTILINESTRING ((550007.3606235709 5814679.724424395,550005.9141291162 5814688.299756647))
1711;Richtungsgleis;18,3 + 92,327;18,3 + 92,327;101830092,327;101830092,327;18,3;92,327;18,3;92,327;4;H-Hainholz - Bremervörde;EÜ Jaohannisgraben;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3550560.194421121 5820147.020504917,3550560.1948098703 5820147.021426258));MULTILINESTRING ((9.743663481263868 52.51210548791546,9.743663487129387 52.512105496158455));MULTILINESTRING ((550468.2407431826 5818259.018994509,550468.2411317852 5818259.019915482))
1711;Streckenachse;21,0 + 21,320;21,0 + 26,272;102100021,32;102100026,272;21;21,32;21;26,272;7;H-Hainholz - Bremervörde;EÜ Interessentenweg;EÜ über andere Straße/Weg Fahrverkehr;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3550754.511068218 5822716.337057793,3550754.9194382704 5822721.271586715));MULTILINESTRING ((9.746917465641841 52.53517485496156,9.746924236821169 52.53521915762654));MULTILINESTRING ((550662.5026761399 5820827.309788047,550662.9109271102 5820832.24234665))
1711;Streckenachse;27,2 + 14,354;27,2 + 17,529;102720014,354;102720017,529;27,2;14,354;27,2;17,529;4;H-Hainholz - Bremervörde;EÜ Graben;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3548919.600151827 5828544.7000875035,3548918.0108489934 5828547.448230617));MULTILINESTRING ((9.720737436405358 52.58771521969068,9.720714394198355 52.587740056792626));MULTILINESTRING ((548828.3746264671 5826653.3661821475,548826.7859813357 5826656.113244104))
1711;Streckenachse;36,6 + 77,985;36,6 + 81,420;103660077,985;103660081,42;36,6;77,985;36,6;81,42;3;H-Hainholz - Bremervörde;EÜ Graben;EÜ über Graben/Flutöffn. zeitw. Wasser;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3542723.5940670995 5835305.091408575,3542722.034661101 5835308.152349931));MULTILINESTRING ((9.630195968788023 52.64898525430692,9.630173325469407 52.649012882189005));MULTILINESTRING ((542634.897476961 5833411.118231393,542633.3387194328 5833414.177966777))
1711;Streckenachse;41,4 + 88,021;41,4 + 96,825;104140088,021;104140096,825;41,4;88,021;41,4;96,825;5;H-Hainholz - Bremervörde;EÜ Varrenbruchgraben;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3542709.29882545 5839877.578707462,3542711.9794949824 5839885.966775334));MULTILINESTRING ((9.630576962776416 52.69007389830862,9.630617693156758 52.6901490604146));MULTILINESTRING ((542620.6484087877 5837981.783583927,542623.3280844751 5837990.168285602))
1711;Streckenachse;42,5 + 50,516;42,6 + 17,456;104250050,516;104260017,456;42,5;50,516;42,6;17,456;67;H-Hainholz - Bremervörde;EÜ Aller Flutgebiet;EÜ über Graben/Flutöffn. zeitw. Wasser;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3543032.805530986 5840889.8793127,3543053.187480267 5840953.656878636));MULTILINESTRING ((9.635493378313424 52.69914460702642,9.635803196896534 52.69971607806845));MULTILINESTRING ((542944.035178215 5838993.677946022,542964.4095712871 5839057.429917656))
1711;Streckenachse;42,8 + 65,203;42,9 + 32,137;104280065,203;104290032,137;42,8;65,203;42,9;32,137;67;H-Hainholz - Bremervörde;EÜ Flutgebiet;EÜ über Graben/Flutöffn. zeitw. Wasser;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3543128.6192304343 5841189.700402629,3543139.313916882 5841223.167176633,3543148.995315976 5841253.47354189));MULTILINESTRING ((9.636949879450345 52.70183110953994,9.63711246480671 52.70213098241939,9.63725964902718 52.70240253709194));MULTILINESTRING ((543039.8133568392 5839293.378716122,543050.5040784993 5839326.832059742,543060.1818885532 5839357.126262935))
1711;Streckenachse;43,1 + 34,168;43,2 + 53,646;104310034,168;104320053,646;43,1;34,168;43,2;53,646;120;H-Hainholz - Bremervörde;EÜ Aller;EÜ über natürlich schiffbaren Fluß;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3543210.482180128 5841445.968881527,3543246.828666132 5841559.812715101));MULTILINESTRING ((9.63819446595257 52.7041273523546,9.638747102685763 52.70514742441388));MULTILINESTRING ((543121.6459588623 5839549.544353525,543157.9789713958 5839663.3425013665))
1711;Streckenachse;49,7 + 96,959;49,8 + 11,469;104970096,959;104980011,469;49,7;96,959;49,8;11,469;22;H-Hainholz - Bremervörde;EÜ Meiße;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3540503.255798705 5847211.750660154,3540502.5469462075 5847214.830992236,3540499.984992874 5847225.906393328));MULTILINESTRING ((9.59885679124475 52.75614657694347,9.598846672862324 52.756174309103926,9.59881009551994 52.756274021676006));MULTILINESTRING ((540415.5493559125 5845313.052703539,540414.8408131485 5845316.131814564,540412.2799787504 5845327.202825436))
1711;Streckenachse;50,2 + 17,146;50,2 + 37,156;105020017,146;105020037,156;50,2;17,146;50,2;37,156;22;H-Hainholz - Bremervörde;EÜ Hudemühlen Meiße;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3540408.5572288563 5847621.68269894,3540404.168892382 5847641.231997683));MULTILINESTRING ((9.597504726611454 52.759837204679,9.597442134507197 52.76001319749938));MULTILINESTRING ((540320.8921506271 5845722.8222470945,540316.5057358928 5845742.363795468))
1711;Streckenachse;51,3 + 84,107;51,4 + 1,149;105130084,107;105140001,149;51,3;84,107;51,4;1,149;16;H-Hainholz - Bremervörde;EÜ Weidenhausener Bach;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3540154.292770078 5848761.341262253,3540150.913614336 5848776.9705401575,3540150.7195062917 5848778.001948248));MULTILINESTRING ((9.593878107498531 52.77009681848646,9.593829957839297 52.77023750996232,9.593827208346621 52.770246792334284));MULTILINESTRING ((540066.7391011938 5846862.028979073,540063.3614303628 5846877.652059652,540063.1674088006 5846878.683058509))
1711;Streckenachse;54,1 + 17,936;54,1 + 20,624;105410017,936;105410020,624;54,1;17,936;54,1;20,624;13;H-Hainholz - Bremervörde;EÜ Döhrenbruchsbach;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3540099.0715307067 5851489.9978666995,3540099.07947821 5851492.68552601));MULTILINESTRING ((9.593393999922867 52.79461983442093,9.593394446980259 52.794643984306184));MULTILINESTRING ((540011.5640655543 5849589.598888551,540011.5720337378 5849592.285476953))
1711;Streckenachse;55,6 + 61,755;55,6 + 64,555;105560061,755;105560064,555;55,6;61,755;55,6;64,555;14;H-Hainholz - Bremervörde;EÜ Düshorner Bach;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3540103.6360792634 5853033.621194259,3540103.6443579127 5853036.420839371));MULTILINESTRING ((9.593650861754044 52.80849000188117,9.593651327801192 52.80851515795414));MULTILINESTRING ((540016.1404942872 5851132.607159153,540016.1487944886 5851135.405688753))
1711;Streckenachse;60,6 + 20,840;60,6 + 51,457;106060020,84;106060051,457;60,6;20,84;60,6;51,457;31;H-Hainholz - Bremervörde;EÜ K 119;EÜ über Landstraße II. Ordnung/Kreisstraße;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3540526.0429467536 5857904.167748542,3540520.0113779064 5857932.419295598,3540519.6872465024 5857934.113600402));MULTILINESTRING ((9.600518836024628 52.85222336264161,9.600432815878643 52.85247767310214,9.600428215073364 52.852492921807226));MULTILINESTRING ((540438.4223380999 5856001.209477728,540432.3934232574 5856029.449822899,540432.0694360423 5856031.143455566))
1711;Streckenachse;60,6 + 38,000;60,6 + 38,000;106060038;106060038;60,6;38;60,6;38;31;H-Hainholz - Bremervörde;E     K 119;EÜ über Landstraße II. Ordnung/Kreisstraße;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3540522.460551375 5857920.947497585,3540522.4603426117 5857920.948475423));MULTILINESTRING ((9.600467745262314 52.85237440803172,9.600467742285 52.85237441683388));MULTILINESTRING ((540434.8415190439 5856017.982573513,540434.8413103716 5856017.983550965))
1711;Streckenachse;60,9 + 38,780;60,9 + 44,154;106090038,78;106090044,154;60,9;38,78;60,9;44,154;7;H-Hainholz - Bremervörde;EÜ Steinförthsbach;EÜ über Graben/Flutöffn. zeitw. Wasser;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3540469.4758962844 5858216.967869563,3540468.4641146455 5858222.245094788));MULTILINESTRING ((9.599717993455295 52.85503830800573,9.599703628911682 52.85508580297748));MULTILINESTRING ((540381.8806034845 5856313.885481256,540380.869271833 5856319.16061302))
1711;Streckenachse;61,5 + 70,031;61,5 + 72,918;106150070,031;106150072,918;61,5;70,031;61,5;72,918;6;H-Hainholz - Bremervörde;EÜ;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3540509.1302305963 5858838.174606472,3540509.7354575926 5858840.997092874));MULTILINESTRING ((9.600383805119359 52.860617233968874,9.6003931411867 52.86064255013683));MULTILINESTRING ((540421.5246624057 5856934.844376628,540422.1296733828 5856937.665733174))
1711;Streckenachse;103,5 + 48,874;103,5 + 53,020;110350048,874;110350053,02;103,5;48,874;103,5;53,02;4;H-Hainholz - Bremervörde;EÜ Graben;EÜ über Graben/Flutöffn. zeitw. Wasser;Niedersachsen;Landkreis Rotenburg (Wümme);MULTILINESTRING ((3523811.579388615 5886152.170315685,3523807.9924483355 5886150.088668529));MULTILINESTRING ((9.354488000453564 53.10704973404225,9.35443428755692 53.107031189290474));MULTILINESTRING ((523730.86739359616 5884238.108555918,523727.281863286 5884236.027769655))
1712;Streckenachse;64,4 + 32,386;64,4 + 36,443;106440032,386;106440036,443;64,4;32,386;64,4;36,443;5;Walsrode - Buchholz(Nordheide);EÜ Feldweg;EÜ über andere Straße/Weg Fahrverkehr;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3542120.3305420247 5860614.068396076,3542124.2701163124 5860615.044142285));MULTILINESTRING ((9.62453363830779 52.87645101477775,9.624592273713805 52.8764594741529));MULTILINESTRING ((542032.0988994126 5858710.016322705,542036.0369129401 5858710.991645118))
1712;Streckenachse;69,3 + 23,611;69,3 + 25,608;106930023,611;106930025,608;69,3;23,611;69,3;25,608;4;Walsrode - Buchholz(Nordheide);EÜ Rietbach;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3546293.553921173 5858878.544659149,3546295.517800737 5858878.911203301));MULTILINESTRING ((9.68626581456809 52.86051396688502,9.686295022456965 52.860517091681686));MULTILINESTRING ((546203.6442616861 5856975.146857036,546205.6073621173 5856975.513237649))
1712;Streckenachse;69,8 + 76,748;69,8 + 92,418;106980076,748;106980092,418;69,8;76,748;69,8;92,418;42;Walsrode - Buchholz(Nordheide);EÜ Deiler Weg;EÜ über Landstraße I. Ordnung/Staatstraße;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3546826.263676031 5859027.57613782,3546841.3158285166 5859031.95525867));MULTILINESTRING ((9.694195840618537 52.861807037203334,9.694419940966128 52.86184507681928));MULTILINESTRING ((546736.143115826 5857124.11421136,546751.1893106373 5857128.491453325))
1712;Streckenachse;71,6 + 77,201;71,6 + 79,204;107160077,201;107160079,204;71,6;77,201;71,6;79,204;11;Walsrode - Buchholz(Nordheide);EÜ Oerbker Bach;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3548555.653666848 5859530.818573846,3548557.575927917 5859531.384355612));MULTILINESTRING ((9.719946003526381 52.86617575163011,9.719974629295246 52.86618066208925));MULTILINESTRING ((548464.848611758 5857627.140724857,548466.7701120509 5857627.706264056))
1712;Streckenachse;72,2 + 44,564;72,2 + 46,541;107220044,564;107220046,541;72,2;44,564;72,2;46,541;7;Walsrode - Buchholz(Nordheide);EÜ;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3549065.598229424 5859761.386470011,3549067.031751954 5859762.749058568));MULTILINESTRING ((9.727552293495098 52.868201270600906,9.727573784348793 52.86821338332173));MULTILINESTRING ((548974.5920711933 5857857.61220876,548976.0250347728 5857858.974241647))
1712;Streckenachse;75,1 + 52,006;75,1 + 55,606;107510052,006;107510055,606;75,1;52,006;75,1;55,606;7;Walsrode - Buchholz(Nordheide);EÜ Steinbach;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3551052.238030755 5861872.609409978,3551054.955654391 5861874.972632091));MULTILINESTRING ((9.757381719168947 52.8869865153978,9.757422459685161 52.8870074917495));MULTILINESTRING ((550960.45925998 5859967.976267698,550963.1758220528 5859970.338523989))
1712;Streckenachse;76,0 + 16,013;76,0 + 18,013;107600016,013;107600018,013;76;16,013;76;18,013;4;Walsrode - Buchholz(Nordheide);EÜ Graben;EÜ über Graben/Flutöffn. zeitw. Wasser;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3551554.561499822 5862570.303533435,3551555.6183075523 5862572.002455301));MULTILINESTRING ((9.764954157661755 52.89320757427864,9.764970127752777 52.89322273821789));MULTILINESTRING ((551462.5888438789 5860665.387932574,551463.6452457753 5860667.086168125))
1712;Streckenachse;76,0 + 81,849;76,0 + 97,925;107600081,849;107600097,925;76;81,849;76;97,925;34;Walsrode - Buchholz(Nordheide);EÜ Einzinger Straße B 440;EÜ über Landstraße I. Ordnung/Staatstraße;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3551589.3494966757 5862626.228643422,3551596.462773459 5862637.663932096,3551597.8466240363 5862639.883015736));MULTILINESTRING ((9.765479866990697 52.893706739660786,9.765587362914513 52.89380880622124,9.765608274853246 52.893828612480014));MULTILINESTRING ((551497.363481513 5860721.290450454,551504.4740266722 5860732.721119607,551505.8573457765 5860734.9393067695))
1712;Streckenachse;76,3 + 14,621;76,3 + 20,147;107630014,621;107630020,147;76,3;14,621;76,3;20,147;7;Walsrode - Buchholz(Nordheide);EÜ Fischendorfer Bach;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3551712.5574369943 5862823.828372464,3551715.482696124 5862828.519192976));MULTILINESTRING ((9.767341783900902 52.89547038920593,9.76738599211555 52.895512256078604));MULTILINESTRING ((551620.5241037183 5860918.810352374,551623.4482393964 5860923.499277863))
1712;Streckenachse;77,1 + 42,429;77,1 + 61,246;107710042,429;107710061,246;77,1;42,429;77,1;61,246;20;Walsrode - Buchholz(Nordheide);EÜ Leerenstraße und  Forellenbach;EÜ über andere Straße/Weg KFZ-Verkehr;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3552150.618840456 5863526.156900092,3552160.437157802 5863542.195165333));MULTILINESTRING ((9.773962951618529 52.90173866707221,9.774111422088765 52.901881821955804));MULTILINESTRING ((552058.4172692306 5861620.855149131,552068.2318185319 5861636.886936793))
1712;Streckenachse;79,8 + 18,957;79,8 + 52,086;107980018,957;107980052,086;79,8;18,957;79,8;52,086;45;Walsrode - Buchholz(Nordheide);EÜ Böhme;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3552972.221331082 5866054.8745977245,3552980.7561308243 5866086.8633460635));MULTILINESTRING ((9.786583885099342 52.92437928312219,9.786715993907446 52.92466586487401));MULTILINESTRING ((552879.7150774389 5864148.5580459945,552888.2467635196 5864180.533973643))
1712;Streckenachse;80,3 + 17,000;80,3 + 17,000;108030017;108030017;80,3;17;80,3;17;4;Walsrode - Buchholz(Nordheide);E Graben b. Jettebruc;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3553104.7676529964 5866534.564077214,3553104.767952167 5866534.565030746));MULTILINESTRING ((9.788632951393582 52.928676271178226,9.78863295599787 52.92867627971624));MULTILINESTRING ((553012.2128911958 5864628.055231338,553012.2131902558 5864628.0561844865))
1712;Streckenachse;81,1 + 35,945;81,1 + 38,014;108110035,945;108110038,014;81,1;35,945;81,1;38,014;12;Walsrode - Buchholz(Nordheide);EÜ Jette;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3553349.874544597 5867315.388315209,3553350.4940999537 5867317.360983755));MULTILINESTRING ((9.792405741348677 52.93566778099383,9.792415279196163 52.93568544409262));MULTILINESTRING ((553257.2291315653 5865408.566196881,553257.8484577773 5865410.538073976))
1712;Streckenachse;85,9 + 33,554;85,9 + 39,351;108590033,554;108590039,351;85,9;33,554;85,9;39,351;7;Walsrode - Buchholz(Nordheide);EÜ Alm-Aue;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3554314.8554412047 5871979.963470568,3554317.4492298355 5871985.143660121));MULTILINESTRING ((9.807537726515418 52.97748246000983,9.807577205754912 52.977528741400775));MULTILINESTRING ((554221.86743107 5870071.274397691,554224.4602329162 5870076.452500296))
1712;Streckenachse;89,5 + 71,132;89,5 + 88,590;108950071,132;108950088,59;89,5;71,132;89,5;88,59;16;Walsrode - Buchholz(Nordheide);EÜ;EÜ über andere Straße/Weg Fahrverkehr;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3557412.3895956725 5872125.470186545,3557429.840286445 5872125.898568767));MULTILINESTRING ((9.85367202305726 52.97846726659961,9.8539318675592 52.978469247630386));MULTILINESTRING ((557318.1689427197 5870216.695334288,557335.6126855409 5870217.123389053))
1712;Streckenachse;90,0 + 1,466;90,0 + 19,400;109000001,466;109000019,4;90;1,466;90;19,4;16;Walsrode - Buchholz(Nordheide);EÜ;EÜ über andere Straße/Weg Fahrverkehr;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3557748.691704621 5872353.791181233,3557754.1241365094 5872370.880401096));MULTILINESTRING ((9.858718885508164 52.980482605731545,9.858802803979696 52.980635565439975));MULTILINESTRING ((557654.3391313985 5870444.922347444,557659.7695527653 5870462.00471041))
1712;Streckenachse;95,7 + 33,894;95,7 + 46,936;109570033,894;109570046,936;95,7;33,894;95,7;46,936;16;Walsrode - Buchholz(Nordheide);EÜ Die Böhme;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3556707.601558941 5877749.506012336,3556703.56003368 5877761.904858701));MULTILINESTRING ((9.844167021589232 53.029073510003215,9.844108967206013 53.02918533961881));MULTILINESTRING ((556613.712224676 5875838.497033775,556609.6724208652 5875850.8909772765))
1712;Streckenachse;109,0 + 93,974;109,0 + 96,930;110900093,974;110900096,93;109;93,974;109;96,93;6;Walsrode - Buchholz(Nordheide);EÜ Weg Dumpetal;EÜ über andere Straße/Weg Fahrverkehr;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3554566.852365287 5890098.347476165,3554569.4630123856 5890099.733476317));MULTILINESTRING ((9.814356732153735 53.140248092901395,9.814395975927875 53.14026027863249));MULTILINESTRING ((554473.9269268416 5888182.438810002,554476.5365466361 5888183.824234569))
1712;Streckenachse;113,2 + 52,832;113,2 + 66,881;111320052,832;111320066,881;113,2;52,832;113,2;66,881;15;Walsrode - Buchholz(Nordheide);EÜ Wümme;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Heidekreis;MULTILINESTRING ((3556096.951716564 5893330.961237309,3556091.1542858933 5893343.758856359));MULTILINESTRING ((9.837785094219363 53.16913328687128,9.837700654290003 53.169248879246034));MULTILINESTRING ((556003.4460209785 5891413.751211375,555997.6510148463 5891426.543785497))
1713;Streckenachse;12,2 + 63,777;12,2 + 69,126;101220063,777;101220069,126;12,2;63,777;12,2;69,126;12;Langenhagen - Flughafen;EÜ ü. Im Gleisdreieck;EÜ über andere Straße/Weg KFZ-Verkehr;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3550311.6672137394 5814187.036011921,3550310.3425964704 5814192.217836754));MULTILINESTRING ((9.739103627073026 52.458572696139484,9.739084922353845 52.45861938160526));MULTILINESTRING ((550219.7599238869 5812301.412233547,550218.4358803297 5812306.592004643))
1713;Streckenachse;12,8 + 27,728;12,8 + 36,915;101280027,728;101280036,915;12,8;27,728;12,8;36,915;30;Langenhagen - Flughafen;EÜ Erschließungsstraße;EÜ über andere Straße/Weg KFZ-Verkehr;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3549984.996135838 5814627.715830816,3549977.0894100647 5814632.392080059));MULTILINESTRING ((9.734364170668362 52.46256259261149,9.734248549751518 52.46260533627166));MULTILINESTRING ((549893.2229393256 5812741.91928575,549885.3194062413 5812746.593740895))
1713;Streckenachse;13,4 + 15,120;13,4 + 29,359;101340015,12;101340029,359;13,4;15,12;13,4;29,359;20;Langenhagen - Flughafen;EÜ ü. Wagenzeller Straße;EÜ über Landstraße I. Ordnung/Staatstraße;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3549416.477512131 5814700.345185889,3549402.4738233793 5814697.775332774));MULTILINESTRING ((9.726011058844861 52.463266944066866,9.725804657338225 52.46324511771113));MULTILINESTRING ((549324.9315521189 5812814.524710404,549310.9334221426 5812811.956005208))
1713;Streckenachse;13,4 + 45,677;13,4 + 48,099;101340045,677;101340048,099;13,4;45,677;13,4;48,099;11;Langenhagen - Flughafen;EÜ ü. Wassergraben;EÜ über Graben/Flutöffn. zeitw. Wasser;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3549386.425491823 5814694.830261968,3549384.0435173754 5814694.393139681));MULTILINESTRING ((9.725568119921983 52.463220104100984,9.725533011866123 52.46321639141419));MULTILINESTRING ((549294.8914609838 5812809.012249928,549292.5104320633 5812808.575322898))
1713;Streckenachse;13,6 + 38,665;13,6 + 84,323;101360038,665;101360084,323;13,6;38,665;13,6;84,323;67;Langenhagen - Flughafen;EÜ ü. BAB A 352;EÜ über Autobahn;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3549196.3433015514 5814661.597154519,3549151.3464157265 5814653.883225115));MULTILINESTRING ((9.722766749144437 52.46293861901202,9.722103627059703 52.462873351142704));MULTILINESTRING ((549104.8847385292 5812775.79406653,549059.9057190432 5812768.083608939))
1713;Streckenachse;13,9 + 70,041;13,9 + 74,654;101390070,041;101390074,654;13,9;70,041;13,9;74,654;16;Langenhagen - Flughafen;EÜ ü. Viehtrift;EÜ über Rad-/Fußweg;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3548870.0512696058 5814604.084114119,3548865.54405539 5814603.104106609));MULTILINESTRING ((9.717957974813796 52.462451087124364,9.717891522683566 52.462442683872084));MULTILINESTRING ((548778.7222492459 5812718.306829731,548774.2168228211 5812717.327252613))
1713;Streckenachse;14,2 + 44,118;14,2 + 55,125;101420044,118;101420055,125;14,2;44,118;14,2;55,125;31;Langenhagen - Flughafen;EÜ ü. Evershorster Straße;EÜ über andere Straße/Weg KFZ-Verkehr;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3548610.237859209 5814518.107996969,3548599.953251744 5814514.189324518));MULTILINESTRING ((9.714123162015232 52.4617016812657,9.713971290151294 52.461667382910484));MULTILINESTRING ((548519.0116339222 5812632.367274151,548508.7310910118 5812628.450254379))
1713;Streckenachse;14,4 + 99,695;14,5 + 2,356;101440099,695;101450002,356;14,4;99,695;14,5;2,356;15;Langenhagen - Flughafen;EÜ ü. Oberer Trentelgraben;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3548366.1206919276 5814444.047677608,3548365.6642905455 5814443.954010341,3548363.494027279 5814443.626708087));MULTILINESTRING ((9.710521115310028 52.46105783674706,9.710514387512157 52.461057035447524,9.71048241284519 52.461054286385185));MULTILINESTRING ((548274.9911108372 5812558.338628083,548274.5348905365 5812558.245002179,548272.365489382 5812557.917849529))
1720;Streckenachse;17,1 + 11,157;17,1 + 41,420;101710011,157;101710041,42;17,1;11,157;17,1;41,42;36;Lehrte - Cuxhaven;EÜ Burgdorfer Straße B 443;EÜ über Bundesstraße;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3566341.7007624013 5806231.863037757,3566347.332274973 5806261.599173454));MULTILINESTRING ((9.97332188646998 52.3853813607851,9.97341046934474 52.38564787283401));MULTILINESTRING ((566243.3333735784 5804349.268518813,566248.9629050134 5804378.992750012))
1720;Streckenachse;17,4 + 63,986;17,4 + 63,986;101740063,986;101740063,986;17,4;63,986;17,4;63,986;4;Lehrte - Cuxhaven;EÜ;EÜ über anderen Wasserlauf;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3566406.6878319075 5806578.674788455,3566406.6880139294 5806578.675771807));MULTILINESTRING ((9.97434491469202 52.38848976245227,9.974344917559993 52.388489771266094));MULTILINESTRING ((566308.2976136407 5804695.941433981,566308.2977955985 5804695.94241694))
1720;Streckenachse;19,4 + 91,972;19,4 + 96,093;101940091,972;101940096,093;19,4;91,972;19,4;96,093;5;Lehrte - Cuxhaven;EÜ;EÜ über Graben/Flutöffn. zeitw. Wasser;Niedersachsen;Landkreis Region Hannover;MULTILINESTRING ((3566778.554983749 5808577.478730593,3566779.3016343866 5808581.529789662));MULTILINESTRING ((9.980204530835858 52.40640473676048,9.980216308437003 52.40644104627093));MULTILINESTRING ((566680.0342666383 5806693.945246063,566680.7806556046 5806697.994683549))
