Streckennummer;Richtung;km_von_l;km_bis_l;km_von_i;km_bis_i;km_von_km;km_von_m;km_bis_km;km_bis_m;Länge;Streckenkurzname;Bezeichnung;Kreuzungsart;Bundesland;Kreis;WKT GK (EPSG 31467);WKT WGS84 (EPSG 4326);WKT UTM 32N (EPSG 25832)
6078;Streckenachse;12,4 + 45,970;12,4 + 80,102;101240045,97;101240080,102;12,4;45,97;12,4;80,102;41;Bln Wriezener Bf - Küstrin-K.;EÜ Hönower Str.;EÜ über andere Straße/Weg KFZ-Verkehr;Berlin;Kreisfreie Stadt Berlin;MULTILINESTRING ((3813102.03986292 5829894.776000202,3813134.9999379097 5829903.838381094));MULTILINESTRING ((13.61202080484374 52.512092339880304,13.612513228796866 52.51215461153156));MULTILINESTRING ((812905.4606543122 5828000.43096894,812938.4076613047 5828009.489406941))
6078;Richtungsgleis;12,4 + 81,687;12,4 + 88,334;101240081,687;101240088,334;12,4;81,687;12,4;88,334;;Bln Wriezener Bf - Küstrin-K.;EÜ Hönower Str.;EÜ über andere Straße/Weg KFZ-Verkehr;Berlin;Kreisfreie Stadt Berlin;MULTILINESTRING ((3813137.0992368846 5829901.0230090255,3813143.525831897 5829902.751505041));MULTILINESTRING ((13.612541403204009 52.51212818908852,13.61263738052387 52.51213998578488));MULTILINESTRING ((812940.5060944664 5828006.675138092,812946.9301410845 5828008.4028806845))
6078;Streckenachse;15,8 + 17,139;15,8 + 21,266;101580017,139;101580021,266;15,8;17,139;15,8;21,266;9;Bln Wriezener Bf - Küstrin-K.;EÜ Zochegraben;EÜ über andere Straße/Weg Fahrverkehr;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3816395.6574758994 5830635.798506962,3816399.6932910313 5830636.690411131));MULTILINESTRING ((13.661077435870592 52.51683077039366,13.661137537557655 52.516836419717265));MULTILINESTRING ((816197.7707852754 5828741.125139757,816201.8049981252 5828742.016647998))
6078;Streckenachse;18,4 + 66,834;18,4 + 70,798;101840066,834;101840070,798;18,4;66,834;18,4;70,798;;Bln Wriezener Bf - Küstrin-K.;E EÜ PT Neuenhagen;EÜ über Rad-/Fußweg;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3818987.5251787165 5831205.00568469,3818991.4011728107 5831205.86427165));MULTILINESTRING ((13.69967535353446 52.52042032846112,13.699733085819487 52.52042575287974));MULTILINESTRING ((818788.6094369185 5829310.079462119,818792.4838921914 5829310.937667981))
6078;Streckenachse;19,4 + 51,906;19,4 + 61,438;101940051,906;101940061,438;19,4;51,906;19,4;61,438;15;Bln Wriezener Bf - Küstrin-K.;EÜ Fließ (Die Erpel);EÜ über Graben/Flutöffn. zeitw. Wasser;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3819950.738894484 5831418.316144549,3819960.0593468286 5831420.3803999135));MULTILINESTRING ((13.714022593313045 52.521766967030175,13.71416142705152 52.52177999060942));MULTILINESTRING ((819751.4407429086 5829523.295236029,819760.757494895 5829525.3585750805))
6078;Streckenachse;19,7 + 60,054;19,8 + 29,080;101970060,054;101980029,08;19,7;60,054;19,8;29,08;97;Bln Wriezener Bf - Küstrin-K.;EÜ A10 Neuenhagen;EÜ über Autobahn;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3820252.106266102 5831484.784440341,3820319.5836120364 5831499.8080953));MULTILINESTRING ((13.718511411263478 52.5221855039594,13.719516621427408 52.522280456418535));MULTILINESTRING ((820052.6884644215 5829589.734014286,820120.1390216084 5829604.751003744))
6078;Streckenachse;24,5 + 16,701;24,5 + 21,614;102450016,701;102450021,614;24,5;16,701;24,5;21,614;5;Bln Wriezener Bf - Küstrin-K.;Personentunnel Peters;EÜ über Wege/Räume Reisende-Bstg.Zug.;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3824901.909570716 5832518.714864877,3824906.7130616703 5832519.777671526));MULTILINESTRING ((13.787787146517626 52.52869634923068,13.787858716120953 52.52870300655187));MULTILINESTRING ((824700.64575562 5830623.2056067865,824705.4473394807 5830624.267941497))
6078;Streckenachse;28,4 + 85,822;28,4 + 89,591;102840085,822;102840089,591;28,4;85,822;28,4;89,591;12;Bln Wriezener Bf - Küstrin-K.;EÜ Annafließ;EÜ über Graben/Flutöffn. zeitw. Wasser;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3828814.002709993 5833102.908912797,3828817.781728789 5833102.901392556));MULTILINESTRING ((13.84580346918386 52.531584102802654,13.845858949440489 52.53158175801304));MULTILINESTRING ((828611.1829006576 5831207.12760035,828614.9604106912 5831207.12004558))
6078;Streckenachse;34,4 + 12,419;34,4 + 17,168;103440012,419;103440017,168;34,4;12,419;34,4;17,168;8;Bln Wriezener Bf - Küstrin-K.;EÜ Mühlenfließ;EÜ über Graben/Flutöffn. zeitw. Wasser;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3834752.0351800565 5833109.737126402,3834756.7906194627 5833109.74307463));MULTILINESTRING ((13.932989808685505 52.528034610709696,13.933059624512163 52.528031746724245));MULTILINESTRING ((834546.8447614207 5831213.894048514,834551.598302301 5831213.899947034))
6078;Streckenachse;40,8 + 50,412;40,8 + 54,174;104080050,412;104080054,174;40,8;50,412;40,8;54,174;10;Bln Wriezener Bf - Küstrin-K.;EÜ Ströbberfließ;EÜ über Graben/Flutöffn. zeitw. Wasser;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3841200.9965618136 5833120.159905909,3841204.767555251 5833120.177479773));MULTILINESTRING ((14.027660282046615 52.52413411354826,14.027715645572528 52.524131913534895));MULTILINESTRING ((840993.2314694306 5831224.248398843,840997.0009574204 5831224.265928065))
6078;Streckenachse;45,8 + 39,000;45,8 + 39,000;104580039;104580039;45,8;39;45,8;39;9;Bln Wriezener Bf - Küstrin-K.;E EÜ PT Bf.Muencheber;EÜ über Wege/Räume Reisende-Bstg.Zug.;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3846118.1953735705 5833527.224005782,3846118.1962835025 5833527.224425373));MULTILINESTRING ((14.100244834452626 52.52468196790141,14.100244848242244 52.524681971080156));MULTILINESTRING ((845908.4710566853 5831631.100853779,845908.4719662586 5831631.101273192))
6078;Streckenachse;46,2 + 48,149;46,2 + 50,679;104620048,149;104620050,679;46,2;48,149;46,2;50,679;7;Bln Wriezener Bf - Küstrin-K.;EÜ gewölbter Durchlass;EÜ über Graben/Flutöffn. zeitw. Wasser;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3846490.847661082 5833698.126181891,3846493.1495968117 5833699.188164903));MULTILINESTRING ((14.105891400264728 52.52597526297876,14.105926287582191 52.525983307327614));MULTILINESTRING ((846280.9762630227 5831801.931063829,846283.2772902704 5831802.99259978))
6078;Streckenachse;51,3 + 76,574;51,3 + 81,776;105130076,574;105130081,776;51,3;76,574;51,3;81,776;9;Bln Wriezener Bf - Küstrin-K.;EÜ Jahnsfelder Weg;EÜ über andere Straße/Weg Fahrverkehr;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3851324.0281825955 5835298.171070662,3851329.2044037012 5835298.784813601));MULTILINESTRING ((14.17850312007332 52.53720600219332,14.178579742488768 52.53720816193102));MULTILINESTRING ((851112.2430173315 5833401.288675347,851117.4171778008 5833401.902121343))
6078;Streckenachse;57,9 + 10,761;57,9 + 17,430;105790010,761;105790017,43;57,9;10,761;57,9;17,43;14;Bln Wriezener Bf - Küstrin-K.;EÜ Neuer Weg;EÜ über andere Straße/Weg Fahrverkehr;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3857519.7193307527 5837099.333728368,3857525.969732251 5837101.687931947));MULTILINESTRING ((14.271366062583056 52.5492993183283,14.271460346651741 52.54931628740759));MULTILINESTRING ((857305.4783730633 5835201.669935123,857311.7263024787 5835204.0231358195))
6078;Streckenachse;59,7 + 29,115;59,7 + 37,417;105970029,115;105970037,417;59,7;29,115;59,7;37,417;11;Bln Wriezener Bf - Küstrin-K.;EÜ Weg;EÜ über andere Straße/Weg Fahrverkehr;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3859259.0315012727 5837641.473185128,3859266.9807335194 5837643.928671389));MULTILINESTRING ((14.2974832123452 52.55300749190972,14.297602561579408 52.55302422667116));MULTILINESTRING ((859044.101494692 5835743.575420127,859052.047577531 5835746.02984592))
6078;Streckenachse;65,1 + 39,974;65,1 + 45,368;106510039,974;106510045,368;65,1;39,974;65,1;45,368;6,2;Bln Wriezener Bf - Küstrin-K.;EÜ Gusower Weg;EÜ über andere Straße/Weg KFZ-Verkehr;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3864437.055559182 5839170.468646305,3864442.234151679 5839172.001334134));MULTILINESTRING ((14.375165765113824 52.563251678900905,14.375243476314052 52.56326192967896));MULTILINESTRING ((864220.0733539392 5837271.908178216,864225.249894041 5837273.440201793))
6078;Streckenachse;65,7 + 69,882;65,7 + 77,614;106570069,882;106570077,614;65,7;69,882;65,7;77,614;11;Bln Wriezener Bf - Küstrin-K.;EÜ Weg nach Werbig;EÜ über andere Straße/Weg Fahrverkehr;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3865048.3994257087 5839324.65922254,3865055.9752774653 5839326.25222415));MULTILINESTRING ((14.384310570016293 52.56422214844577,14.384423546632233 52.56423132727949));MULTILINESTRING ((864831.1746606743 5837426.031017821,864838.7475033872 5837427.623306907))
6078;Streckenachse;66,0 + 87,076;66,0 + 92,671;106600087,076;106600092,671;66;87,076;66;92,671;10;Bln Wriezener Bf - Küstrin-K.;EÜ Straße;EÜ über Landstraße I. Ordnung/Staatstraße;Brandenburg;Landkreis Märkisch-Oderland;MULTILINESTRING ((3865360.6400540387 5839382.526137919,3865366.164580862 5839383.453925117));MULTILINESTRING ((14.388958394809118 52.56453067893458,14.389040524374346 52.56453527670912));MULTILINESTRING ((865143.291191794 5837483.87167642,865148.8135219724 5837484.799037407))
